level,rep,group,diet_no,ratio,yeast,sugar,CFU_AP,CFU_LB,Fecundity,Weight,Protein,Glucose,TAG,Average_counts_L,Average_counts_D,sleep_time_L,sleep_time_D
360,2,AP,19,00:01,0,360,600,0,0,1.2024,0.769,0.03242743,0.148275342,87.35051546,31.21875,0,133.7211111
360,2,AP+LB,19,00:01,0,360,650,900,0,1.232,0.515169502,0.015606825,0.122786705,108.5876289,61.64583333,55.325,155.6181818
360,2,AX,19,00:01,0,360,0,0,0,1.0634,0.627,0.033389928,0.137988096,55.2371134,40.75,56.00222222,231.1018519
360,2,CV,19,00:01,0,360,800,700,2,0.8754,1.183,0.022617188,0.227228683,66.13402062,35.79166667,52.95833333,74.01212121
360,2,LB,19,00:01,0,360,0,1500,0,1.1154,1.49,0.035607699,0.193886457,58.8556701,20.91666667,49.8037037,256.8666667
360,3,AP,19,00:01,0,360,900,0,0,1.2472,0.357457051,0.03236125,0.121,96.25773196,16.53125,42.05,119.3895833
360,3,AP+LB,19,00:01,0,360,400,450,0,1.242,1.252712346,0.019454241,0.13943948,122.7319588,24.96875,50.93148148,119.4770833
360,3,AX,19,00:01,0,360,0,0,0,1.1338,0.484885371,0.018279412,0.094,87.40206186,20.4375,41.82222222,80.49912281
360,3,CV,19,00:01,0,360,358400,12800,3,1.0416,0.861476935,0.029793182,0.143004291,107.8453608,24.46875,36.17142857,122.1416667
360,3,LB,19,00:01,0,360,0,850,1,1.2154,0.23944518,0.026458373,0.145,168.2783505,45.09375,0,88.55
360,4,AP,19,00:01,0,360,9600,0,0,1.4304,0.884759624,0.01208297,0.116402388,79.71134021,56.70833333,49.96888889,123.345
360,4,AP+LB,19,00:01,0,360,350,700,0,1.208,0.88544829,0.014255215,0.103657627,74.19587629,70.08333333,124.7138889,97.78030303
360,4,AX,19,00:01,0,360,0,0,2,1.2254,0.968425707,0.021374496,0.175,101.6494845,61.76041667,57.93958333,95.27179487
360,4,CV,19,00:01,0,360,300,2450,0,1.110333333,0.641271675,0.011465718,0.081994442,71.59793814,57.03125,46.8,51.21481481
360,4,LB,19,00:01,0,360,0,2370,2,1.1634,0.802484063,0.017479585,0.185159893,79.39175258,65.48958333,56.31,73.29305556
360,5,AP,19,00:01,0,360,1400,0,9,1.142,0.405,0.01681702,0.100707031,79.8556701,26.92708333,36.87777778,115.67
360,5,AP+LB,19,00:01,0,360,1650,1000,0,1.2544,0.79124467,0.016039637,0.202075381,50.11340206,8.895833333,44.39375,350.3305556
360,5,AX,19,00:01,0,360,0,0,9,1.175,0.669026411,0.018569871,0.181,42.34020619,13.63541667,41.79,118.7598039
360,5,CV,19,00:01,0,360,375,125,0.5,1.123,0.602330204,0.0197767,0.149202769,80.35051546,37.04166667,55.03125,171.115
360,5,LB,19,00:01,0,360,0,3633.5,19,1.203,0.551,0.01563715,0.106305147,43.98969072,22.80208333,48.5375,95.51574074
360,6,AP,19,00:01,0,360,,,,,,,,,,,
360,6,AP+LB,19,00:01,0,360,,,,,,,,,,,
360,6,AX,19,00:01,0,360,0,0,,,,,,,,,
360,6,CV,19,00:01,0,360,,,,1.1778,0.849040584,0.023008405,0.087889864,,,,
360,6,LB,19,00:01,0,360,,,,,,,,,,,
360,7,AP,19,00:01,0,360,,,,,,,,,,,
360,7,AP+LB,19,00:01,0,360,,,,,,,,,,,
360,7,AX,19,00:01,0,360,0,0,,,,,,,,,
360,7,CV,19,00:01,0,360,,,,1.1852,0.660317833,0.024240485,0.177116812,,,,
360,7,LB,19,00:01,0,360,,,,,,,,,,,
360,8,AP,19,00:01,0,360,,,,,,,,,,,
360,8,AP+LB,19,00:01,0,360,,,,,,,,,,,
360,8,AX,19,00:01,0,360,0,0,,,,,,,,,
